Unnamed: 0,comuna,titulo,precio_uf,m2_totales,m2_construidos,banos,dormitorios,antiguedad_anos,estacionamientos,jardin,piscina,quincho,condominio_cerrado,educacion,comercios,salud,url,tipo_vivienda,uf_por_m2,latitud,longitud,distancia_centro_km
40,Cerro Navia,"Propiedad Excelente Estado, Cerca A Linea  7 Metro C. Navia",2539.0,162.0,107.0,2,5,45,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1724608351-propiedad-excelente-estado-cerca-a-linea-7-metro-c-navia-_JM,casa,23.72897196261682,-33.4165375,-70.7553168,10.282820221593392
44,Cerro Navia,Excelente Casa Con Potencial,2490.0,162.0,162.0,1,4,16,1,True,True,True,False,True,True,True,https://portalinmobiliario.com/MLC-1711051143-excelente-casa-con-potencial-_JM,casa,15.37037037037037,-33.433324,-70.7229832,6.981243162782114
45,Cerro Navia,Amplia Casa De Esquina A 2 Cuadras De Futura Linea 7,2430.0,140.0,120.0,1,3,0,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3138571928-amplia-casa-de-esquina-a-2-cuadras-de-futura-linea-7-_JM,casa,20.25,-33.4257365,-70.7411977,8.778359418019786
46,Cerro Navia,Casa 225 M2 - Av. José J Pérez/ J. Washington - Cerro Navia,2650.0,225.0,110.0,1,4,0,0,True,False,False,False,True,True,True,https://portalinmobiliario.com/MLC-1709323011-casa-225-m2-av-jose-j-perez-j-washington-cerro-navia-_JM,casa,24.09090909090909,-33.4305238,-70.7349146,8.118128634782193
47,Cerro Navia,Oportunidad Casa En Cerro Navia 2 Casas En 1! 250mts2.,3200.0,250.0,250.0,2,4,40,3,False,False,False,True,True,True,True,https://portalinmobiliario.com/MLC-2892585538-oportunidad-casa-en-cerro-navia-2-casas-en-1-250mts2-_JM,casa,12.8,-33.4207533,-70.7201691,7.019947949025601
48,Cerro Navia,Se Vende Casa 3 En 1,3800.0,210.0,103.0,2,3,40,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3203770534-se-vende-casa-3-en-1-_JM,casa,36.89320388349515,-33.4347263,-70.7394945,8.49312679164262
49,Colina,"Casa En Venta En Chicureo, Piedra Roja",15900.0,537.0,236.0,4,4,9,2,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-1703121501-casa-en-venta-en-chicureo-piedra-roja-_JM,casa,67.37288135593221,-33.2811987,-70.6377808,17.706598799830886
50,Colina,Casa En Venta De 4 Dorm. En Piedra Roja.,14500.0,700.0,189.0,4,4,15,2,True,True,True,True,False,False,False,https://portalinmobiliario.com/MLC-2995529796-casa-en-venta-de-4-dorm-en-piedra-roja-_JM,casa,76.71957671957672,-33.2800738,-70.6409045,17.818108238972624
51,Colina,Casa En Venta De 5 Dorm. En Chamisero,18400.0,1013.0,260.0,5,5,11,2,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-1641589711-casa-en-venta-de-5-dorm-en-chamisero-_JM,casa,70.76923076923077,-33.3049391,-70.6652413,15.12334522841009
52,Colina,"Casa En Venta En Colina, Chicureo, Piedra Roja",21900.0,937.0,258.0,4,4,21,0,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-1616261201-casa-en-venta-en-colina-chicureo-piedra-roja-_JM,casa,84.88372093023256,-33.2800738,-70.6409045,17.818108238972624
53,Colina,Casa En Venta De 4 Dorm. En Colina,15913.0,640.39,250.0,4,4,12,2,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-2846729102-casa-en-venta-de-4-dorm-en-colina-_JM,casa,63.652,-33.2811987,-70.6377808,17.706598799830886
54,Colina,"Casa En Venta En Chicureo, Piedra Roja",15800.0,505.0,222.0,4,4,6,4,True,True,True,True,True,False,False,https://portalinmobiliario.com/MLC-1466907417-casa-en-venta-en-chicureo-piedra-roja-_JM,casa,71.17117117117117,-33.2811987,-70.6377808,17.706598799830886
55,Colina,Espectacular Casa En Venta De 4 Dorm. En Chicureo,18900.0,600.0,250.0,4,4,12,2,True,True,True,True,True,False,False,https://portalinmobiliario.com/MLC-1613620433-espectacular-casa-en-venta-de-4-dorm-en-chicureo-_JM,casa,75.6,-33.2811987,-70.6377808,17.706598799830886
