comuna,titulo,precio_uf,m2_totales,m2_construidos,banos,dormitorios,antiguedad_anos,estacionamientos,jardin,piscina,quincho,condominio_cerrado,educacion,comercios,salud,url,tipo_vivienda,direccion
Huechuraba,"Hermoso Departamento, Muy Bien Mantenido.",4890.0,80.0,80.0,2,3,10,1,True,True,False,True,True,True,False,https://portalinmobiliario.com/MLC-3003768958-hermoso-departamento-muy-bien-mantenido-_JM,departamento,"Av. El Guanaco Nte. 1533, 8600661 Huechuraba, Región Metropolitana, Chile, Pedro Fontova, Huechuraba, RM (Metropolitana)"
Huechuraba,Departamento Amplio Gran Terraza,4900.0,103.23,91.11,2,3,15,1,True,True,False,True,True,True,True,https://portalinmobiliario.com/MLC-1693427195-departamento-amplio-gran-terraza-_JM,departamento,"Santa Elena De Huechuraba, Pedro Fontova, Huechuraba, RM (Metropolitana)"
Huechuraba,Se Vende Lindo Departamento En Huechuraba,6350.0,107.0,84.0,3,3,14,2,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-1620106849-se-vende-lindo-departamento-en-huechuraba-_JM,departamento,"Av. Pedro Fontova 7150, Pedro Fontova, Huechuraba, RM (Metropolitana)"
Huechuraba,"Hermoso, Impecable, Vista Despejada!!",6400.0,132.0,120.0,2,3,8,1,False,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-3138581192-hermoso-impecable-vista-despejada-_JM,departamento,"De Cintura 7800 - 8100, Huechuraba, Región Metropolitana, Chile, Pedro Fontova, Huechuraba, RM (Metropolitana)"
Huechuraba,"Recuperado Remate,depto 3d 2b Pedro Fontova 7330  Huechuraba",4905.0,78.0,78.0,2,3,0,1,True,False,True,True,True,True,False,https://portalinmobiliario.com/MLC-2880401546-recuperado-rematedepto-3d-2b-pedro-fontova-7330-huechuraba-_JM,departamento,"Edifico Terravista - Av. Pedro Fontova 7330, Huechuraba, Pedro Fontova, Huechuraba, RM (Metropolitana)"
Huechuraba,Departamento Completamente Amoblado Y Equipado En Huechuraba,3800.0,80.0,72.0,2,2,16,2,True,True,False,True,True,True,False,https://portalinmobiliario.com/MLC-3221733848-departamento-completamente-amoblado-y-equipado-en-huechuraba-_JM,departamento,"Sta. Elena De Huechuraba 1398, Huechuraba, Región Metropolitana, Chile, Pedro Fontova, Huechuraba, RM (Metropolitana)"
Huechuraba,Areas Verdes / 3dorm Amplios /colegio Lincoln,4400.0,83.0,83.0,2,3,7,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1692801165-areas-verdes-3dorm-amplios-colegio-lincoln-_JM,departamento,"Av. Sta. Marta De Huechuraba 7051, Huechuraba, Santiago, Pedro Fontova, Huechuraba, RM (Metropolitana)"
Huechuraba,Hermoso Y Amplio Departamento En Sector Con Alta Plusvalía,6100.0,91.0,91.0,2,3,8,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1715081211-hermoso-y-amplio-departamento-en-sector-con-alta-plusvalia-_JM,departamento,"El Sauce, Huechuraba, Pedro Fontova, Huechuraba, RM (Metropolitana)"
Huechuraba,Hermoso Departamento En Exclusivo Barrio,7800.0,147.0,124.0,3,3,15,2,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-2902107910-hermoso-departamento-en-exclusivo-barrio-_JM,departamento,"Camino De Cintura, Huechuraba, Chile, Pedro Fontova, Huechuraba, RM (Metropolitana)"
Huechuraba,"Espectacular Departamento, Vista Impresionante!",6490.0,132.0,120.0,2,3,0,1,False,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-3143684428-espectacular-departamento-vista-impresionante-_JM,departamento,"De Cintura 8023, Huechuraba, Región Metropolitana, Chile, Pedro Fontova, Huechuraba, RM (Metropolitana)"
Huechuraba,Espacioso Y Luminoso Vista Nor Oriente,4350.0,98.0,90.0,2,3,0,1,True,True,False,True,True,True,True,https://portalinmobiliario.com/MLC-2906236042-espacioso-y-luminoso-vista-nor-oriente-_JM,departamento,"Berta Correa 1683, 8600903 Huechuraba, Región Metropolitana, Chile, Pedro Fontova, Huechuraba, RM (Metropolitana)"
Huechuraba,Depto 3d+2b Con Patio Privado 185m2 El Sauce/pedro Fontova,6850.0,185.0,88.0,2,3,2,1,True,True,False,True,True,True,True,https://portalinmobiliario.com/MLC-3131545452-depto-3d2b-con-patio-privado-185m2-el-saucepedro-fontova-_JM,departamento,"Av. El Sauce, Huechuraba, Pedro Fontova, Huechuraba, RM (Metropolitana)"
Huechuraba,Departamento En Venta De 3 Dorm. En Huechuraba,4990.0,85.0,85.0,2,3,8,1,True,True,False,True,True,True,False,https://portalinmobiliario.com/MLC-2966397534-departamento-en-venta-de-3-dorm-en-huechuraba-_JM,departamento,"Libertadores 7135, Pedro Fontova, Huechuraba, RM (Metropolitana)"
Huechuraba,Venta Departamento Condominio Los Sauces 2 Huechuraba,7500.0,115.0,115.0,2,3,1,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1702918313-venta-departamento-condominio-los-sauces-2-huechuraba-_JM,departamento,"Av. El Sauce, Huechuraba, Pedro Fontova, Huechuraba, RM (Metropolitana)"
Huechuraba,Departamento Vende Su Dueño Sin Comision,4650.0,89.0,90.0,2,3,8,2,True,True,False,True,True,True,False,https://portalinmobiliario.com/MLC-3230567140-departamento-vende-su-dueno-sin-comision-_JM,departamento,"Avenida El Guanaco 1540, Pedro Fontova, Huechuraba, RM (Metropolitana)"
Huechuraba,Precioso Depto Con Hermosa Vista Despejada,6800.0,121.0,121.0,2,3,0,1,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-3005386636-precioso-depto-con-hermosa-vista-despejada-_JM,departamento,"Cam. De Cintura 8030, Huechuraba, Pedro Fontova, Huechuraba, RM (Metropolitana)"
Huechuraba,Departamento En Venta En Huechuraba,5700.0,105.0,105.0,2,3,0,1,True,True,False,True,True,True,False,https://portalinmobiliario.com/MLC-3203926926-departamento-en-venta-en-huechuraba-_JM,departamento,"Mirador Del Carmen, Pedro Fontova, Huechuraba, RM (Metropolitana)"
