comuna,titulo,precio_uf,m2_totales,m2_construidos,banos,dormitorios,antiguedad_anos,estacionamientos,jardin,piscina,quincho,condominio_cerrado,educacion,comercios,salud,url,tipo_vivienda
Cerrillos,Excelente Oportunidad De Negocio En Cerrillos,,309.0,250.0,2,3,45,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3209934268-excelente-oportunidad-de-negocio-en-cerrillos-_JM,casa
Cerrillos,Hermosa Casa Individual Con Quincho,4500.0,144.0,85.0,3,3,17,3,True,False,True,True,True,True,False,https://portalinmobiliario.com/MLC-3201504114-hermosa-casa-individual-con-quincho-_JM,casa
Cerrillos,"Propiedad En Venta, En La Comuna De  Cerrillos",,500.0,80.0,1,4,0,4,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2954857832-propiedad-en-venta-en-la-comuna-de-cerrillos-_JM,casa
Cerrillos,Se Vende Linda Y Amplia Casa En Cerrillos Los Fundadores,,189.0,129.39,2,7,30,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1694605427-se-vende-linda-y-amplia-casa-en-cerrillos-los-fundadores-_JM,casa
Cerrillos,Hermosa Casa De 3 Dormitorios / 2 Baños En Ubicación Ideal,,230.0,230.0,2,3,54,3,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1702913873-hermosa-casa-de-3-dormitorios-2-banos-en-ubicacion-ideal-_JM,casa
Cerrillos,Casa En Venta De 4 Dorm. En Cerrillos,3300.0,160.0,85.0,2,4,44,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3060935000-casa-en-venta-de-4-dorm-en-cerrillos-_JM,casa
Cerrillos,Casa 3d+1b Sector Tranquilo,3315.0,180.0,90.0,13,3,45,13,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1623727783-casa-3d1b-sector-tranquilo-_JM,casa
Cerrillos,Casa Para Remodelar Gran Terreno,13500.0,718.0,718.0,1,3,60,5,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1612176643-casa-para-remodelar-gran-terreno-_JM,casa
Cerrillos,Casa Remodelada Completa Y Reciente,5700.0,250.0,150.0,3,6,1,3,True,False,False,True,True,True,True,https://portalinmobiliario.com/MLC-1722986269-casa-remodelada-completa-y-reciente-_JM,casa
Cerrillos,Casa Esquina Super Segura!,,389.0,389.0,2,4,50,5,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3100780334-casa-esquina-super-segura-_JM,casa
Cerro Navia,Casa 3d 1b Estacionamiento Cercana Futura Estación Metro,2900.0,171.0,86.0,1,3,49,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3206809576-casa-3d-1b-estacionamiento-cercana-futura-estacion-metro-_JM,casa
Cerro Navia,Casa Con Local Y Departamento Independiente En Venta,,122.0,116.0,1,2,44,1,True,False,False,True,True,True,True,https://portalinmobiliario.com/MLC-1672334467-casa-con-local-y-departamento-independiente-en-venta-_JM,casa
Cerro Navia,Casa En Venta Para Remodelar Cerro Navia,,162.0,41.0,1,3,55,0,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1721002013-casa-en-venta-para-remodelar-cerro-navia-_JM,casa
Cerro Navia,Casa Grande Y Espaciosa - Nuevo Horizonte,2200.0,192.0,130.0,0,3,0,0,True,False,False,False,True,True,True,https://portalinmobiliario.com/MLC-3192889014-casa-grande-y-espaciosa-nuevo-horizonte-_JM,casa
Cerro Navia,Casa En Venta De 3 Dorm. En Cerro Navia,,107.0,114.0,1,3,39,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1719983461-casa-en-venta-de-3-dorm-en-cerro-navia-_JM,casa
Cerro Navia,Casa En Venta En Cerro Navia Con Patio Y Estacionamiento,,120.0,120.0,3,5,42,2,True,False,False,True,True,True,True,https://portalinmobiliario.com/MLC-1714661783-casa-en-venta-en-cerro-navia-con-patio-y-estacionamiento-_JM,casa
Cerro Navia,Casa En Venta / Cerro Navia,2300.0,160.0,70.0,1,3,45,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3106206786-casa-en-venta-cerro-navia-_JM,casa
Cerro Navia,Casa En Cerro Navia,,0.0,0.0,1,2,0,0,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3230593488-casa-en-cerro-navia-_JM,casa
Cerro Navia,Casa 3d1b Estacionamiento En Teniente Cruz,3600.0,160.0,96.0,1,3,59,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1726225111-casa-3d1b-estacionamiento-en-teniente-cruz-_JM,casa
Cerro Navia,Se Vende Amplia Casa De 3d 1b En Cerro Navia,,240.0,98.0,1,3,41,0,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1676680933-se-vende-amplia-casa-de-3d-1b-en-cerro-navia-_JM,casa
Cerro Navia,Gran Oportunidad Para Inversionista,2500.0,175.0,175.0,1,4,45,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1720885833-gran-oportunidad-para-inversionista-_JM,casa
Cerro Navia,"Venta Casa 2hab 1ba Luis Lazzarini, 7600",2500.0,178.0,136.0,1,2,25,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1717441981-venta-casa-2hab-1ba-luis-lazzarini-7600-_JM,casa
Cerro Navia,Casa En Venta De 2 Dorm. En Cerro Navia,,0.0,57.0,1,2,0,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2891904556-casa-en-venta-de-2-dorm-en-cerro-navia-_JM,casa
Cerro Navia,Munizaga & Asociados Vende Excelente Propiedad En Cerro,,180.0,0.0,1,6,55,0,True,False,False,False,True,True,True,https://portalinmobiliario.com/MLC-3192966704-munizaga-amp-asociados-vende-excelente-propiedad-en-cerro-_JM,casa
Cerro Navia,"Casa Ampliada Y Regularizada Con Depto Interior, Cerro Navia",2548.0,160.0,160.0,2,3,50,1,False,False,False,False,True,False,False,https://portalinmobiliario.com/MLC-1653161305-casa-ampliada-y-regularizada-con-depto-interior-cerro-navia-_JM,casa
Cerro Navia,Casa En Venta De 2 Dorm. En Cerro Navia,,162.0,65.0,1,2,0,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1619841757-casa-en-venta-de-2-dorm-en-cerro-navia-_JM,casa
Cerro Navia,"Casa-local En Venta, Prox. A Nueva Línea 7 Metro Cerro Navia",2650.0,180.0,106.0,2,2,38,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3241389436-casa-local-en-venta-prox-a-nueva-linea-7-metro-cerro-navia-_JM,casa
Cerro Navia,"Se Vende Casa Cerro Navia, Avendia La Estrella",,162.0,200.0,3,6,23,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2910362634-se-vende-casa-cerro-navia-avendia-la-estrella-_JM,casa
Cerro Navia,"Vendo Propiedad Con 2 Casas, Cerro Navia",,163.0,155.0,2,6,42,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1694056171-vendo-propiedad-con-2-casas-cerro-navia-_JM,casa
Cerro Navia,Se Vende Hermosa Casa En Cerro Navia,,162.0,114.0,3,8,24,2,True,True,True,False,True,True,True,https://portalinmobiliario.com/MLC-1663595627-se-vende-hermosa-casa-en-cerro-navia-_JM,casa
Cerro Navia,Rebajada !!! Casa Esquina 438 Mts Terreno 160 Const 4d/2b,4700.0,438.0,167.0,2,5,52,3,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3000508264-rebajada-casa-esquina-438-mts-terreno-160-const-4d2b-_JM,casa
